tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0035423	movie	Kate & Leopold	Kate & Leopold	0	2001	\N	118	Comedy,Fantasy,Romance	6.4	92409
tt0064106	movie	The Butcher	Le boucher	0	1970	\N	93	Drama,Mystery,Thriller	7.3	9888
tt0064165	movie	The Things of Life	Les choses de la vie	0	1970	\N	89	Drama,Romance	7.4	6005
tt0064177	movie	Colossus: The Forbin Project	Colossus: The Forbin Project	0	1970	\N	100	Sci-Fi,Thriller	7.1	10967
tt0064285	movie	The Wild Child	L'enfant sauvage	0	1970	\N	83	Biography,Drama,History	7.4	9320
tt0064437	movie	The Honeymoon Killers	The Honeymoon Killers	0	1970	\N	107	Crime,Drama,Romance	6.9	6284
tt0064451	movie	A Touch of Zen	Xia nü	0	1971	\N	200	Action,Adventure,Drama	7.5	7916
tt0065073	movie	Taste the Blood of Dracula	Taste the Blood of Dracula	0	1970	\N	91	Drama,Fantasy,Horror	6.3	7370
tt0065134	movie	Two Mules for Sister Sara	Two Mules for Sister Sara	0	1970	\N	116	Adventure,Drama,Romance	7.0	32747
tt0065143	movie	The Bird with the Crystal Plumage	L'uccello dalle piume di cristallo	0	1970	\N	96	Drama,Horror,Mystery	7.1	26109
tt0065377	movie	Airport	Airport	0	1970	\N	137	Action,Drama,Thriller	6.6	23663
tt0065421	movie	The Aristocats	The AristoCats	0	1970	\N	78	Adventure,Animation,Comedy	7.1	121542
tt0065436	movie	Even Dwarfs Started Small	Auch Zwerge haben klein angefangen	0	1970	\N	96	Comedy,Drama	6.7	6548
tt0065439	movie	The Confession	L'aveu	0	1970	\N	139	Drama,Thriller	7.8	5155
tt0065446	movie	The Ballad of Cable Hogue	The Ballad of Cable Hogue	0	1970	\N	121	Comedy,Drama,Romance	7.2	11113
tt0065462	movie	Beneath the Planet of the Apes	Beneath the Planet of the Apes	0	1970	\N	95	Action,Adventure,Sci-Fi	6.0	56430
tt0065466	movie	Beyond the Valley of the Dolls	Beyond the Valley of the Dolls	0	1970	\N	109	Comedy,Drama,Music	6.1	12680
tt0065486	movie	Borsalino	Borsalino	0	1970	\N	125	Crime,Drama	6.8	5459
tt0065488	movie	The Boys in the Band	The Boys in the Band	0	1970	\N	120	Drama	7.6	6301
tt0065492	movie	Brewster McCloud	Brewster McCloud	0	1970	\N	105	Comedy,Crime,Fantasy	6.8	6114
tt0065528	movie	Catch-22	Catch-22	0	1970	\N	122	Comedy,Drama,War	7.1	27747
tt0065531	movie	Le cercle rouge	Le cercle rouge	0	1970	\N	140	Crime,Drama,Thriller	7.9	30671
tt0065542	movie	The Cheyenne Social Club	The Cheyenne Social Club	0	1970	\N	103	Comedy,Western	6.8	5354
tt0065547	movie	Chisum	Chisum	0	1970	\N	111	Biography,Drama,Western	6.8	11607
tt0065571	movie	The Conformist	Il conformista	0	1970	\N	113	Drama	7.9	37637
tt0065593	movie	Cromwell	Cromwell	0	1970	\N	139	Biography,Drama,History	7.0	7656
tt0065622	movie	The Decameron	Il Decameron	0	1971	\N	111	Comedy,Drama,History	7.0	13240
tt0065649	movie	Dodes'ka-den	Dodesukaden	0	1970	\N	140	Drama	7.3	8088
tt0065651	movie	Bed & Board	Domicile conjugal	0	1970	\N	97	Comedy,Drama,Romance	7.4	11226
tt0065670	movie	Twelve Chairs	12 stulev	0	1971	\N	153	Adventure,Comedy,Crime	8.2	7781
tt0065724	movie	Five Easy Pieces	Five Easy Pieces	0	1970	\N	98	Drama	7.4	43126
tt0065761	movie	The Cat o' Nine Tails	Il gatto a nove code	0	1971	\N	112	Horror,Mystery,Thriller	6.6	13846
tt0065769	movie	The Gendarme Takes Off	Le gendarme en balade	0	1970	\N	107	Comedy,Crime	6.5	7899
tt0065772	movie	Claire's Knee	Le genou de Claire	0	1970	\N	105	Drama,Romance	7.5	13253
tt0065777	movie	The Garden of the Finzi-Continis	Il giardino dei Finzi Contini	0	1970	\N	94	Drama,History,War	7.2	8211
tt0065780	movie	Gimme Shelter	Gimme Shelter	0	1970	\N	91	Documentary,Music,Thriller	7.8	13517
tt0065836	movie	Hi, Mom!	Hi, Mom!	0	1970	\N	87	Comedy,Drama	6.1	6533
tt0065854	movie	The House That Dripped Blood	The House That Dripped Blood	0	1971	\N	102	Drama,Fantasy,Horror	6.5	8334
tt0065867	movie	Husbands	Husbands	0	1970	\N	154	Comedy,Drama	7.1	7882
tt0065889	movie	Investigation of a Citizen Above Suspicion	Indagine su un cittadino al di sopra di ogni sospetto	0	1970	\N	115	Crime,Drama	8.0	14540
tt0065938	movie	Kelly's Heroes	Kelly's Heroes	0	1970	\N	144	Adventure,Comedy,War	7.6	56953
tt0065955	movie	A Love Story	En kärlekshistoria	0	1970	\N	115	Drama,Romance	7.3	8041
tt0065976	movie	Let It Be	Let It Be	0	1970	\N	81	Documentary,Music	7.6	8407
tt0065988	movie	Little Big Man	Little Big Man	0	1970	\N	139	Adventure,Drama,Western	7.5	39496
tt0066011	movie	Love Story	Love Story	0	1970	\N	100	Drama,Romance	6.9	39200
tt0066026	movie	M*A*S*H	MASH	0	1970	\N	116	Comedy,Drama,War	7.3	80951
tt0066049	movie	A Man Called Horse	A Man Called Horse	0	1970	\N	114	Adventure,Drama,Western	6.8	9910
tt0066070	movie	My Name Is Joker	Mera Naam Joker	0	1970	\N	224	Comedy,Drama,Musical	7.9	5744
tt0066078	movie	Michael the Brave	Mihai Viteazul	0	1971	\N	203	Action,Biography,Drama	8.4	6675
tt0066122	movie	Deep End	Deep End	0	1970	\N	88	Comedy,Drama,Romance	7.1	8311
tt0066193	movie	The Out of Towners	The Out of Towners	0	1970	\N	101	Comedy	7.0	9789
tt0066206	movie	Patton	Patton	0	1970	\N	172	Biography,Drama,War	7.9	112467
tt0066207	movie	Donkey Skin	Peau d'âne	0	1970	\N	91	Comedy,Fantasy,Musical	7.0	7221
tt0066214	movie	Performance	Performance	0	1970	\N	105	Crime,Drama	6.7	11882
tt0066227	movie	Pippi in the South Seas	Pippi Långstrump på de sju haven	0	1970	\N	86	Adventure,Comedy,Drama	6.9	5901
tt0066249	movie	The Private Life of Sherlock Holmes	The Private Life of Sherlock Holmes	0	1970	\N	125	Adventure,Comedy,Crime	7.0	14368
tt0066279	movie	The Railway Children	The Railway Children	0	1970	\N	109	Drama,Family	7.3	6070
tt0066301	movie	Rio Lobo	Rio Lobo	0	1970	\N	114	Drama,War,Western	6.7	14712
tt0066319	movie	Ryan's Daughter	Ryan's Daughter	0	1970	\N	200	Drama,Romance	7.4	11316
tt0066344	movie	Scrooge	Scrooge	0	1970	\N	113	Drama,Family,Fantasy	7.5	13355
tt0066390	movie	Soldier Blue	Soldier Blue	0	1970	\N	112	Drama,War,Western	6.9	6948
tt0066412	movie	The Strange Vice of Mrs. Wardh	Lo strano vizio della signora Wardh	0	1971	\N	81	Crime,Horror,Mystery	6.9	6015
tt0066434	movie	THX 1138	THX 1138	0	1971	\N	86	Drama,Sci-Fi,Thriller	6.6	56608
tt0066448	movie	There Was a Crooked Man...	There Was a Crooked Man...	0	1970	\N	126	Comedy,Western	6.8	5534
tt0066473	movie	Tora! Tora! Tora!	Tora! Tora! Tora!	0	1970	\N	144	Action,Drama,History	7.5	38935
tt0066491	movie	Tristana	Tristana	0	1970	\N	99	Drama	7.4	13537
tt0066495	movie	The Twelve Chairs	The Twelve Chairs	0	1970	\N	94	Comedy,Drama	6.4	7481
tt0066516	movie	Valerie and Her Week of Wonders	Valerie a týden divu	0	1970	\N	77	Adventure,Drama,Fantasy	7.0	12569
tt0066518	movie	The Vampire Lovers	The Vampire Lovers	0	1970	\N	91	Horror	6.4	8469
tt0066549	movie	Waterloo	Waterloo	0	1970	\N	123	Action,Biography,Drama	7.3	13807
tt0066565	movie	White Sun of the Desert	Beloe solntse pustyni	0	1970	\N	84	Action,Adventure,Comedy	7.7	8351
tt0066580	movie	Woodstock	Woodstock	0	1970	\N	184	Documentary,History,Music	8.1	19155
tt0066601	movie	Zabriskie Point	Zabriskie Point	0	1970	\N	113	Drama	6.9	17871
tt0066612	movie	Compañeros	Vamos a matar, compañeros	0	1970	\N	115	Action,Comedy,Western	7.2	5332
tt0066730	movie	10 Rillington Place	10 Rillington Place	0	1971	\N	111	Biography,Crime,Drama	7.5	10606
tt0066735	movie	Four Flies on Grey Velvet	4 mosche di velluto grigio	0	1971	\N	104	Crime,Mystery,Thriller	6.5	10716
tt0066740	movie	The Abominable Dr. Phibes	The Abominable Dr. Phibes	0	1971	\N	94	Comedy,Horror	7.0	17598
tt0066763	movie	Anand	Anand	0	1971	\N	122	Drama,Musical	8.1	36751
tt0066765	movie	Monty Python's and Now for Something Completely Different	And Now for Something Completely Different	0	1971	\N	88	Comedy	7.5	32280
tt0066767	movie	The Anderson Tapes	The Anderson Tapes	0	1971	\N	99	Action,Crime,Thriller	6.4	9668
tt0066769	movie	The Andromeda Strain	The Andromeda Strain	0	1971	\N	131	Mystery,Sci-Fi,Thriller	7.2	42789
tt0066808	movie	Bananas	Bananas	0	1971	\N	82	Comedy	6.9	39403
tt0066817	movie	Bedknobs and Broomsticks	Bedknobs and Broomsticks	0	1971	\N	117	Adventure,Animation,Comedy	7.1	42400
tt0066819	movie	The Beguiled	The Beguiled	0	1971	\N	105	Drama,Thriller,War	7.2	20395
tt0066831	movie	Big Jake	Big Jake	0	1971	\N	110	Drama,Western	7.1	15382
tt0066832	movie	Billy Jack	Billy Jack	0	1971	\N	114	Action,Drama	6.2	6933
tt0066849	movie	The Blood on Satan's Claw	The Blood on Satan's Claw	0	1971	\N	97	Horror	6.4	8528
tt0066892	movie	Carnal Knowledge	Carnal Knowledge	0	1971	\N	98	Comedy,Drama	6.9	16228
tt0066907	movie	Chato's Land	Chato's Land	0	1972	\N	100	Drama,Western	6.6	7023
tt0066921	movie	A Clockwork Orange	A Clockwork Orange	0	1971	\N	136	Crime,Sci-Fi	8.2	919085
tt0066989	movie	Two English Girls	Les deux Anglaises et le continent	0	1971	\N	130	Drama,Romance	7.2	6237
tt0066993	movie	The Devils	The Devils	0	1971	\N	111	Biography,Drama,History	7.7	20200
tt0066995	movie	Diamonds Are Forever	Diamonds Are Forever	0	1971	\N	120	Action,Adventure,Thriller	6.5	119315
tt0066999	movie	Dirty Harry	Dirty Harry	0	1971	\N	102	Action,Crime,Thriller	7.7	176990
tt0067065	movie	Escape from the Planet of the Apes	Escape from the Planet of the Apes	0	1971	\N	98	Action,Sci-Fi	6.3	43579
tt0067093	movie	Fiddler on the Roof	Fiddler on the Roof	0	1971	\N	181	Drama,Family,Musical	8.0	50649
tt0067108	movie	Delusions of Grandeur	La folie des grandeurs	0	1971	\N	85	Adventure,Comedy,History	7.2	8542
tt0067116	movie	The French Connection	The French Connection	0	1971	\N	104	Action,Crime,Drama	7.7	146563
tt0067128	movie	Get Carter	Get Carter	0	1971	\N	112	Crime,Thriller	7.3	38825
tt0067140	movie	Duck, You Sucker!	Giù la testa	0	1971	\N	138	Drama,War,Western	7.5	40038
tt0067144	movie	The Go-Between	The Go-Between	0	1971	\N	116	Drama,Romance	7.2	6940
tt0067148	movie	Godzilla vs. Hedorah	Gojira tai Hedora	0	1971	\N	85	Animation,Family,Sci-Fi	6.1	7330
tt0067185	movie	Harold and Maude	Harold and Maude	0	1971	\N	91	Comedy,Drama,Romance	7.8	84631
